,Player,Pos,Min,PrgC,PrgP,xAG,xG,Gls-xG,PPA,Att 3rd
0,Dominic Solanke,FW,90,0,2,0.4,0.9,0.09999999999999998,0,9
1,Son Heung-min,LW,90,5,4,1.3,1.0,0.0,1,15
2,Brennan Johnson,RW,52,2,1,0.1,0.0,0.0,2,7
3,Timo Werner,RW,38,0,2,0.4,0.0,0.0,1,13
4,Pape Matar Sarr,"LM,RM",90,0,1,0.0,0.5,-0.5,1,7
5,Yves Bissouma,CM,78,0,2,0.0,0.0,0.0,0,1
6,Lucas Bergvall,CM,12,1,2,0.0,0.0,0.0,1,4
7,Dejan Kulusevski,RM,78,5,2,0.0,0.1,0.9,1,14
8,James Maddison,LM,12,2,0,0.5,0.1,-0.1,0,4
9,Destiny Udogie,LB,90,1,4,0.0,0.0,0.0,0,9
10,Micky van de Ven,CB,78,0,1,0.0,0.1,-0.1,0,1
11,Archie Gray,CB,12,0,0,0.0,0.0,0.0,0,0
12,Cristian Romero,CB,14,0,0,0.0,0.0,0.0,0,0
13,Radu Drăgușin,CB,76,0,2,0.0,0.0,0.0,0,0
14,Pedro Porro,RB,90,1,4,0.2,0.1,-0.1,0,17
15,Fraser Forster,GK,90,0,0,0.0,0.0,0.0,0,0
16,Nicolas Jackson,FW,75,5,0,0.0,0.3,-0.3,0,16
17,Christopher Nkunku,FW,15,0,0,0.0,0.0,0.0,0,2
18,Jadon Sancho,LW,90,8,6,0.0,0.4,0.6,5,34
19,Pedro Neto,RW,85,4,2,0.2,0.1,-0.1,1,27
20,Noni Madueke,RW,5,1,0,0.0,0.0,0.0,0,2
21,Cole Palmer,AM,89,5,7,0.5,1.7,0.30000000000000004,2,31
22,João Félix,AM,1,0,0,0.0,0.0,0.0,0,0
23,Enzo Fernández,DM,90,1,10,0.0,0.1,0.9,4,29
24,Roméo Lavia,DM,45,0,2,0.1,0.0,0.0,0,3
25,Malo Gusto,RB,45,0,1,0.0,0.0,0.0,0,8
26,Marc Cucurella,LB,89,1,5,0.3,0.0,0.0,2,18
27,Renato Veiga,LB,1,0,0,0.0,0.0,0.0,0,0
28,Levi Colwill,CB,90,0,3,0.0,0.2,-0.2,0,2
29,Benoît Badiashile,CB,90,0,4,0.0,0.0,0.0,0,2
30,Moisés Caicedo,"DM,RB",90,1,5,0.0,0.0,0.0,0,14
31,Robert Sánchez,GK,90,0,0,0.0,0.0,0.0,0,0
