Name,Total tackles,Interceptions,Clearances,Duels_total,Duels_won,Ground_duels_total,Ground_duels_won,Aerial_duels_total,Aerial_duels_won
Cole Palmer,0,1,0,10,8,10,8,0,0
Enzo Fernández,2,2,1,10,5,9,5,1,0
Jadon Sancho,0,0,0,6,3,5,3,1,0
Brennan Johnson,1,0,0,3,3,3,3,0,0
James Maddison,0,0,0,2,1,1,1,1,0
Son Heung-min,0,1,1,6,2,6,2,0,0
Dominic Solanke,1,0,3,11,3,7,2,4,1
Pedro Neto,2,1,0,10,5,9,5,1,0
Moisés Caicedo,2,2,1,10,7,8,5,2,2
Pedro Porro,1,0,4,6,5,5,4,1,1
Roméo Lavia,3,3,0,9,6,7,5,2,1
Timo Werner,0,0,1,5,2,5,2,0,0
Levi Colwill,0,1,2,4,2,2,1,2,1
Dejan Kulusevski,1,1,0,12,4,12,4,0,0
Lucas Bergvall,0,0,0,1,1,1,1,0,0
Malo Gusto,1,1,0,3,2,3,2,0,0
Cristian Romero,2,0,0,4,2,4,2,0,0
Fraser Forster,0,0,0,0,0,0,0,0,0
Noni Madueke,1,0,0,1,1,1,1,0,0
Archie Gray,0,0,0,1,1,0,0,1,1
Christopher Nkunku,0,0,0,3,1,0,0,3,1
Radu Drăgușin,1,1,2,6,4,2,1,4,3
João Félix,0,0,0,2,0,2,0,0,0
Micky van de Ven,1,0,5,2,1,2,1,0,0
Benoît Badiashile,4,1,2,9,6,6,4,3,2
Destiny Udogie,3,0,2,10,5,9,4,1,1
Nicolas Jackson,1,0,1,13,3,12,2,1,1
Yves Bissouma,5,0,1,11,6,11,6,0,0
Renato Veiga,0,0,0,3,0,3,0,0,0
Marc Cucurella,2,0,0,5,3,5,3,0,0
Pape Matar Sarr,3,1,0,18,6,14,5,4,1
Robert Sánchez,0,0,0,0,0,0,0,0,0

